T,method,mean_seconds,sample_sd_seconds,eval1001_seconds,eval1002_seconds,eval1003_seconds
3,random,0.00016081652696205614,3.787656247204525e-06,0.0001582689437782392,0.00015901156803010963,0.00016516906907781959
3,fixed,0.0011626002394930562,0.0001386267085744613,0.0010106104746228084,0.0012820887750422116,0.0011951014688141488
3,myopic,9.999676711919165,0.0024309864594432113,9.998226098559826,9.998320796403277,10.00248324079439
3,dad,0.001224918292993809,9.292631825666e-05,0.0012888015432205673,0.001118314104436043,0.0012676392313248168
3,rl_sboed,0.0016841189790284261,0.00029331265346713446,0.0014137526377453469,0.0019959623993296796,0.0016426419000102517
3,step_dad,9.112754568423648,0.006845222435551721,9.116869739689719,9.116541304332108,9.10485266124912
4,random,0.0002091893293254543,2.4936626780951725e-06,0.00020686938660219312,0.00020887222490273416,0.00021182637647143565
4,fixed,0.0014806398256850014,3.744984139137169e-05,0.001506783071818063,0.0014377372014375094,0.0014973992037994321
4,myopic,13.437180911996014,0.008911275964323614,13.432834905099298,13.447431353612046,13.431276477276697
4,dad,0.001416226385319735,2.0187903092787288e-05,0.001392991877461706,0.0014294775501184631,0.0014262097283790354
4,rl_sboed,0.0033103948630418423,0.0013255850844110083,0.001959273745645381,0.004608875649864785,0.00336303519361536
4,step_dad,23.24278100116256,0.023911375647353773,23.21591765387105,23.26173755621615,23.250687793400477
5,random,0.00030928604004050914,4.94936237075214e-05,0.0002847413888957817,0.00027686173416441306,0.0003662549970613327
5,fixed,0.0027462690304673743,0.0017270281414509014,0.0018413630859868135,0.0016597336580161937,0.0047377103473991156
5,myopic,16.9353540299453,0.03458922086666929,16.918011527803174,16.912866936792852,16.97518362523988
5,dad,0.001927228256843389,0.0001969690656457026,0.0017390634639014024,0.0021319556750919824,0.0019106656315367825
5,rl_sboed,0.0027081449754607296,0.0006906526260746062,0.0019236068158837345,0.0029764142285178727,0.003224413881980581
5,step_dad,44.6926065519579,0.031595004566674606,44.660678547326825,44.723857679698995,44.693283428847884
