T,method,complete,mean_spce_nats,sd,uncertainty_unit,mean_online_seconds
3,random,True,0.7540852936732652,0.004669757225981716,evaluation-seed mean,0.00016081652696205614
3,fixed,True,4.2622934969654525,0.040163088588797115,training-seed mean,0.0011626002394930562
3,myopic,True,4.290747128205289,0.03682719965463953,evaluation-seed mean,9.999676711919165
3,dad,True,4.757576144807575,0.03619873207698706,training-seed mean,0.0012249182929938089
3,rl_sboed,True,4.744542158399076,0.002239129023409637,training-seed mean,0.0016841189790284261
3,step_dad,True,4.752700460209833,0.027454878023259296,training-seed mean,9.112754568423648
4,random,True,0.8359522538859698,0.029683832443697194,evaluation-seed mean,0.0002091893293254543
4,fixed,True,4.494613368422281,0.034520184003789534,training-seed mean,0.0014806398256850014
4,myopic,True,4.399029704497578,0.017673930921017076,evaluation-seed mean,13.437180911996014
4,dad,True,4.832491664880897,0.004679596589073391,training-seed mean,0.0014162263853197347
4,rl_sboed,True,4.827462006092319,0.011223992102079012,training-seed mean,0.0033103948630418423
4,step_dad,True,4.82965672585287,0.006740861616129465,training-seed mean,23.24278100116256
5,random,True,0.8464269935706706,0.0251627148691768,evaluation-seed mean,0.00030928604004050914
5,fixed,True,4.662377695480784,0.008267617527624463,training-seed mean,0.0027462690304673743
5,myopic,True,4.464054598936871,0.02801614960640483,evaluation-seed mean,16.9353540299453
5,dad,True,4.844302961928076,0.002630904128121743,training-seed mean,0.001927228256843389
5,rl_sboed,True,4.838275371204446,0.010787624505002745,training-seed mean,0.0027081449754607296
5,step_dad,True,4.8446095672166,0.004159309718742138,training-seed mean,44.6926065519579
