T,method,mean_seconds,sample_sd_seconds,eval1001_seconds,eval1002_seconds,eval1003_seconds
3,random,7.145121768796041e-05,8.928448762708613e-08,7.139366789488122e-05,7.140591333154589e-05,7.15540718374541e-05
3,fixed,0.0005231610007791056,3.76067872827189e-05,0.0005109356085692222,0.0004931880309110662,0.0005653593628570283
3,myopic,9.308166414562342,0.003986897968003537,9.309436434827148,9.303699219439295,9.31136358942058
3,dad,0.0005370063524120876,2.4325670861689005e-06,0.0005343996920904223,0.0005392159794913217,0.0005374033856545187
3,rl_sboed,0.0004915917337105687,3.336466127499414e-06,0.0004884012923866976,0.0004913167085760506,0.0004950572001689579
3,step_dad,6.342474098442431,0.0017390935559487705,6.344235195325989,6.3407578767861805,6.342429223215125
4,random,9.445257334543082e-05,3.273385978668367e-08,9.441623478778638e-05,9.44797502597794e-05,9.446173498872668e-05
4,fixed,0.0006227741046637271,1.7427003915973584e-06,0.0006208294331978929,0.0006241944295955667,0.0006232984511977216
4,myopic,12.577336922053291,0.0015381262394159488,12.577155610946647,12.575897487073235,12.578957668139992
4,dad,0.0006831864579402867,1.7812598990901191e-06,0.0006851858846251465,0.0006817688851394147,0.0006826046040562991
4,rl_sboed,0.000626262551425801,9.388092283669443e-07,0.0006271618470539883,0.0006252886772320684,0.0006263371299913464
4,step_dad,15.808228399227826,0.009255903146797683,15.81718403559959,15.798698930228056,15.80880223185583
5,random,0.00012119385974074248,5.112036781070494e-07,0.00012121472900616936,0.00012067254101566505,0.00012169430920039304
5,fixed,0.0007659562852495583,1.928478809753792e-06,0.0007644008025332975,0.0007653540318036297,0.0007681140214117477
5,myopic,15.891999925847509,0.002194676518694647,15.889533148980263,15.893736170062766,15.8927304584995
5,dad,0.0008380620197890999,3.6440482161065052e-06,0.0008341581906279316,0.0008413737784091305,0.0008386540903302375
5,rl_sboed,0.0007639059080651754,2.4491619762397907e-06,0.0007636189147888217,0.0007616128865871966,0.0007664859228195079
5,step_dad,24.349844664688135,0.04999655814020031,24.398508572829087,24.352411109439952,24.298614311795365
